"filename", "language", "Dart", "comment", "blank", "total"
"/Applications/projects/flutter_projects/firedrop/lib/core/constant/app_enums.dart", "Dart", 12, 0, 5, 17
"/Applications/projects/flutter_projects/firedrop/lib/core/routes/app_routes.dart", "Dart", 48, 0, 3, 51
"/Applications/projects/flutter_projects/firedrop/lib/core/routes/route_names.dart", "Dart", 9, 3, 3, 15
"/Applications/projects/flutter_projects/firedrop/lib/core/routes/route_paths.dart", "Dart", 9, 0, 2, 11
"/Applications/projects/flutter_projects/firedrop/lib/core/routes/router.dart", "Dart", 54, 12, 15, 81
"/Applications/projects/flutter_projects/firedrop/lib/core/theme/app_colors.dart", "Dart", 150, 23, 25, 198
"/Applications/projects/flutter_projects/firedrop/lib/core/theme/app_components.dart", "Dart", 84, 5, 7, 96
"/Applications/projects/flutter_projects/firedrop/lib/core/theme/app_sizes.dart", "Dart", 38, 7, 9, 54
"/Applications/projects/flutter_projects/firedrop/lib/core/theme/app_theme.dart", "Dart", 59, 11, 14, 84
"/Applications/projects/flutter_projects/firedrop/lib/core/theme/app_typography.dart", "Dart", 106, 9, 9, 124
"/Applications/projects/flutter_projects/firedrop/lib/core/widgets/top_safe_area.dart", "Dart", 8, 0, 3, 11
"/Applications/projects/flutter_projects/firedrop/lib/firebase_options.dart", "Dart", 70, 12, 7, 89
"/Applications/projects/flutter_projects/firedrop/lib/main.dart", "Dart", 25, 0, 6, 31
"/Applications/projects/flutter_projects/firedrop/lib/models/matches_model.dart", "Dart", 62, 0, 5, 67
"/Applications/projects/flutter_projects/firedrop/lib/models/registrations_model.dart", "Dart", 62, 0, 5, 67
"/Applications/projects/flutter_projects/firedrop/lib/models/results_model.dart", "Dart", 88, 0, 9, 97
"/Applications/projects/flutter_projects/firedrop/lib/models/teams_model.dart", "Dart", 58, 0, 6, 64
"/Applications/projects/flutter_projects/firedrop/lib/models/tournaments_model.dart", "Dart", 154, 4, 31, 189
"/Applications/projects/flutter_projects/firedrop/lib/models/user_stats_model.dart", "Dart", 43, 0, 5, 48
"/Applications/projects/flutter_projects/firedrop/lib/models/users_model.dart", "Dart", 70, 0, 6, 76
"/Applications/projects/flutter_projects/firedrop/lib/models/video_model.dart", "Dart", 34, 0, 5, 39
"/Applications/projects/flutter_projects/firedrop/lib/presentation/providers/auth_providers.dart", "Dart", 28, 3, 5, 36
"/Applications/projects/flutter_projects/firedrop/lib/presentation/providers/team_providers.dart", "Dart", 10, 0, 3, 13
"/Applications/projects/flutter_projects/firedrop/lib/presentation/providers/tournament_providers.dart", "Dart", 73, 8, 21, 102
"/Applications/projects/flutter_projects/firedrop/lib/presentation/providers/video_providers.dart", "Dart", 15, 0, 4, 19
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/home_screen.dart", "Dart", 278, 21, 23, 322
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/login_screen.dart", "Dart", 211, 0, 20, 231
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/organizer_dashboard_screen.dart", "Dart", 1608, 30, 74, 1712
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/profile_screen.dart", "Dart", 203, 0, 11, 214
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/signup_screen.dart", "Dart", 160, 0, 26, 186
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/splash_screen.dart", "Dart", 190, 7, 25, 222
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/create_room_screen.dart", "Dart", 237, 0, 16, 253
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/join_room_screen.dart", "Dart", 221, 0, 18, 239
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/registration_success_screen.dart", "Dart", 177, 1, 10, 188
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/team_selection_screen.dart", "Dart", 171, 0, 8, 179
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/tournament_screen.dart", "Dart", 715, 15, 28, 758
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/videos_screen.dart", "Dart", 329, 0, 25, 354
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/animations/animated_tournament_card.dart", "Dart", 52, 0, 12, 64
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/home/section_header.dart", "Dart", 58, 1, 4, 63
