Date : 2026-03-08 21:24:10
Directory : /Applications/projects/flutter_projects/firedrop
Total : 46 files,  1560 codes, 168 comments, 265 blanks, all 1993 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C++        |         16 |        577 |        129 |        191 |        897 |
| XML        |         10 |        521 |          0 |         15 |        536 |
| JSON       |          6 |        278 |          0 |          4 |        282 |
| Swift      |          6 |         65 |          7 |         21 |         93 |
| YAML       |          2 |         54 |         22 |          8 |         84 |
| HTML       |          1 |         31 |          0 |          8 |         39 |
| Dart       |          1 |         14 |         10 |          7 |         31 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          7 |          0 |          2 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         46 |      1,560 |        168 |        265 |      1,993 |
| . (Files)                                                                                                      |          4 |         65 |         22 |         15 |        102 |
| android                                                                                                        |         10 |        151 |          0 |         14 |        165 |
| android (Files)                                                                                                |          1 |          2 |          0 |          1 |          3 |
| android/app                                                                                                    |          8 |        144 |          0 |         12 |        156 |
| android/app (Files)                                                                                            |          1 |         29 |          0 |          0 |         29 |
| android/app/src                                                                                                |          7 |        115 |          0 |         12 |        127 |
| android/app/src/debug                                                                                          |          1 |          7 |          0 |          1 |          8 |
| android/app/src/main                                                                                           |          5 |        101 |          0 |         10 |        111 |
| android/app/src/main (Files)                                                                                   |          1 |         45 |          0 |          2 |         47 |
| android/app/src/main/res                                                                                       |          4 |         56 |          0 |          8 |         64 |
| android/app/src/main/res/drawable                                                                              |          1 |         11 |          0 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                          |          1 |         11 |          0 |          2 |         13 |
| android/app/src/main/res/values                                                                                |          1 |         17 |          0 |          2 |         19 |
| android/app/src/main/res/values-night                                                                          |          1 |         17 |          0 |          2 |         19 |
| android/app/src/profile                                                                                        |          1 |          7 |          0 |          1 |          8 |
| android/gradle                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                         |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                            |          8 |        231 |          2 |         13 |        246 |
| ios/Runner                                                                                                     |          7 |        224 |          0 |          9 |        233 |
| ios/Runner (Files)                                                                                             |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                          |          2 |         63 |          0 |          2 |         65 |
| ios/RunnerTests                                                                                                |          1 |          7 |          2 |          4 |         13 |
| linux                                                                                                          |          5 |        128 |         35 |         47 |        210 |
| linux/flutter                                                                                                  |          2 |         12 |          9 |         11 |         32 |
| linux/runner                                                                                                   |          3 |        116 |         26 |         36 |        178 |
| macos                                                                                                          |          6 |        457 |          5 |         17 |        479 |
| macos/Flutter                                                                                                  |          1 |         16 |          3 |          4 |         23 |
| macos/Runner                                                                                                   |          4 |        434 |          0 |          9 |        443 |
| macos/Runner (Files)                                                                                           |          2 |         23 |          0 |          7 |         30 |
| macos/Runner/Assets.xcassets                                                                                   |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                        |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                              |          1 |          7 |          2 |          4 |         13 |
| test                                                                                                           |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                            |          2 |         66 |          0 |          9 |         75 |
| windows                                                                                                        |         10 |        448 |         94 |        143 |        685 |
| windows/flutter                                                                                                |          2 |         20 |          9 |         11 |         40 |
| windows/runner                                                                                                 |          8 |        428 |         85 |        132 |        645 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Applications/projects/flutter_projects/firedrop/README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| /Applications/projects/flutter_projects/firedrop/analysis_options.yaml                                         | YAML       |          3 |         22 |          4 |         29 |
| /Applications/projects/flutter_projects/firedrop/android/app/google-services.json                              | JSON       |         29 |          0 |          0 |         29 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/debug/AndroidManifest.xml                     | XML        |          7 |          0 |          1 |          8 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/main/AndroidManifest.xml                      | XML        |         45 |          0 |          2 |         47 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/main/res/drawable-v21/launch_background.xml   | XML        |         11 |          0 |          2 |         13 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/main/res/drawable/launch_background.xml       | XML        |         11 |          0 |          2 |         13 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/main/res/values-night/styles.xml              | XML        |         17 |          0 |          2 |         19 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/main/res/values/styles.xml                    | XML        |         17 |          0 |          2 |         19 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/profile/AndroidManifest.xml                   | XML        |          7 |          0 |          1 |          8 |
| /Applications/projects/flutter_projects/firedrop/android/gradle.properties                                     | Properties |          2 |          0 |          1 |          3 |
| /Applications/projects/flutter_projects/firedrop/android/gradle/wrapper/gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| /Applications/projects/flutter_projects/firedrop/firebase.json                                                 | JSON       |          1 |          0 |          0 |          1 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json | JSON       |         23 |          0 |          1 |         24 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md     | Markdown   |          3 |          0 |          2 |          5 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Base.lproj/LaunchScreen.storyboard                 | XML        |         37 |          0 |          1 |         38 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Base.lproj/Main.storyboard                         | XML        |         26 |          0 |          1 |         27 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| /Applications/projects/flutter_projects/firedrop/ios/RunnerTests/RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| /Applications/projects/flutter_projects/firedrop/linux/flutter/generated_plugin_registrant.cc                  | C++        |          7 |          4 |          5 |         16 |
| /Applications/projects/flutter_projects/firedrop/linux/flutter/generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| /Applications/projects/flutter_projects/firedrop/linux/runner/main.cc                                          | C++        |          5 |          0 |          2 |          7 |
| /Applications/projects/flutter_projects/firedrop/linux/runner/my_application.cc                                | C++        |         94 |         26 |         29 |        149 |
| /Applications/projects/flutter_projects/firedrop/linux/runner/my_application.h                                 | C++        |         17 |          0 |          5 |         22 |
| /Applications/projects/flutter_projects/firedrop/macos/Flutter/GeneratedPluginRegistrant.swift                 | Swift      |         16 |          3 |          4 |         23 |
| /Applications/projects/flutter_projects/firedrop/macos/Runner/AppDelegate.swift                                | Swift      |         11 |          0 |          3 |         14 |
| /Applications/projects/flutter_projects/firedrop/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json | JSON       |         68 |          0 |          1 |         69 |
| /Applications/projects/flutter_projects/firedrop/macos/Runner/Base.lproj/MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| /Applications/projects/flutter_projects/firedrop/macos/Runner/MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| /Applications/projects/flutter_projects/firedrop/macos/RunnerTests/RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| /Applications/projects/flutter_projects/firedrop/pubspec.yaml                                                  | YAML       |         51 |          0 |          4 |         55 |
| /Applications/projects/flutter_projects/firedrop/test/widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| /Applications/projects/flutter_projects/firedrop/web/index.html                                                | HTML       |         31 |          0 |          8 |         39 |
| /Applications/projects/flutter_projects/firedrop/web/manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| /Applications/projects/flutter_projects/firedrop/windows/flutter/generated_plugin_registrant.cc                | C++        |         15 |          4 |          5 |         24 |
| /Applications/projects/flutter_projects/firedrop/windows/flutter/generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| /Applications/projects/flutter_projects/firedrop/windows/runner/win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                          |            |      1,560 |        168 |        265 |      1,993 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
