Date : 2026-03-08 21:24:10
Directory : /Applications/projects/flutter_projects/firedrop
Total : 100 files,  8399 codes, 368 comments, 935 blanks, all 9702 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         55 |      6,853 |        210 |        677 |      7,740 |
| C++        |         16 |        577 |        129 |        191 |        897 |
| XML        |         10 |        521 |          0 |         15 |        536 |
| JSON       |          6 |        278 |          0 |          4 |        282 |
| Swift      |          6 |         65 |          7 |         21 |         93 |
| YAML       |          2 |         54 |         22 |          8 |         84 |
| HTML       |          1 |         31 |          0 |          8 |         39 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          7 |          0 |          2 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        100 |      8,399 |        368 |        935 |      9,702 |
| . (Files)                                                                                                                 |          4 |         65 |         22 |         15 |        102 |
| android                                                                                                                   |         10 |        151 |          0 |         14 |        165 |
| android (Files)                                                                                                           |          1 |          2 |          0 |          1 |          3 |
| android/app                                                                                                               |          8 |        144 |          0 |         12 |        156 |
| android/app (Files)                                                                                                       |          1 |         29 |          0 |          0 |         29 |
| android/app/src                                                                                                           |          7 |        115 |          0 |         12 |        127 |
| android/app/src/debug                                                                                                     |          1 |          7 |          0 |          1 |          8 |
| android/app/src/main                                                                                                      |          5 |        101 |          0 |         10 |        111 |
| android/app/src/main (Files)                                                                                              |          1 |         45 |          0 |          2 |         47 |
| android/app/src/main/res                                                                                                  |          4 |         56 |          0 |          8 |         64 |
| android/app/src/main/res/drawable                                                                                         |          1 |         11 |          0 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                     |          1 |         11 |          0 |          2 |         13 |
| android/app/src/main/res/values                                                                                           |          1 |         17 |          0 |          2 |         19 |
| android/app/src/main/res/values-night                                                                                     |          1 |         17 |          0 |          2 |         19 |
| android/app/src/profile                                                                                                   |          1 |          7 |          0 |          1 |          8 |
| android/gradle                                                                                                            |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                       |          8 |        231 |          2 |         13 |        246 |
| ios/Runner                                                                                                                |          7 |        224 |          0 |          9 |        233 |
| ios/Runner (Files)                                                                                                        |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                                |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                             |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                           |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                     |          2 |         63 |          0 |          2 |         65 |
| ios/RunnerTests                                                                                                           |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                       |         54 |      6,839 |        200 |        670 |      7,709 |
| lib (Files)                                                                                                               |          2 |         95 |         12 |         13 |        120 |
| lib/core                                                                                                                  |         11 |        577 |         70 |         95 |        742 |
| lib/core/constant                                                                                                         |          1 |         12 |          0 |          5 |         17 |
| lib/core/routes                                                                                                           |          4 |        120 |         15 |         23 |        158 |
| lib/core/theme                                                                                                            |          5 |        437 |         55 |         64 |        556 |
| lib/core/widgets                                                                                                          |          1 |          8 |          0 |          3 |         11 |
| lib/models                                                                                                                |          8 |        571 |          4 |         72 |        647 |
| lib/presentation                                                                                                          |         26 |      5,224 |         92 |        386 |      5,702 |
| lib/presentation/providers                                                                                                |          4 |        126 |         11 |         33 |        170 |
| lib/presentation/screens                                                                                                  |         12 |      4,500 |         74 |        284 |      4,858 |
| lib/presentation/screens (Files)                                                                                          |          8 |      3,694 |         73 |        232 |      3,999 |
| lib/presentation/screens/team_selection                                                                                   |          4 |        806 |          1 |         52 |        859 |
| lib/presentation/widgets                                                                                                  |         10 |        598 |          7 |         69 |        674 |
| lib/presentation/widgets (Files)                                                                                          |          6 |        386 |          6 |         46 |        438 |
| lib/presentation/widgets/animations                                                                                       |          1 |         52 |          0 |         12 |         64 |
| lib/presentation/widgets/home                                                                                             |          1 |         58 |          1 |          4 |         63 |
| lib/presentation/widgets/states                                                                                           |          2 |        102 |          0 |          7 |        109 |
| lib/repositories                                                                                                          |          3 |        120 |          9 |         37 |        166 |
| lib/services                                                                                                              |          4 |        252 |         13 |         67 |        332 |
| linux                                                                                                                     |          5 |        128 |         35 |         47 |        210 |
| linux/flutter                                                                                                             |          2 |         12 |          9 |         11 |         32 |
| linux/runner                                                                                                              |          3 |        116 |         26 |         36 |        178 |
| macos                                                                                                                     |          6 |        457 |          5 |         17 |        479 |
| macos/Flutter                                                                                                             |          1 |         16 |          3 |          4 |         23 |
| macos/Runner                                                                                                              |          4 |        434 |          0 |          9 |        443 |
| macos/Runner (Files)                                                                                                      |          2 |         23 |          0 |          7 |         30 |
| macos/Runner/Assets.xcassets                                                                                              |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                           |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                   |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                         |          1 |          7 |          2 |          4 |         13 |
| test                                                                                                                      |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                       |          2 |         66 |          0 |          9 |         75 |
| windows                                                                                                                   |         10 |        448 |         94 |        143 |        685 |
| windows/flutter                                                                                                           |          2 |         20 |          9 |         11 |         40 |
| windows/runner                                                                                                            |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Applications/projects/flutter_projects/firedrop/README.md                                                                | Markdown   |         10 |          0 |          7 |         17 |
| /Applications/projects/flutter_projects/firedrop/analysis_options.yaml                                                    | YAML       |          3 |         22 |          4 |         29 |
| /Applications/projects/flutter_projects/firedrop/android/app/google-services.json                                         | JSON       |         29 |          0 |          0 |         29 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/debug/AndroidManifest.xml                                | XML        |          7 |          0 |          1 |          8 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/main/AndroidManifest.xml                                 | XML        |         45 |          0 |          2 |         47 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/main/res/drawable-v21/launch_background.xml              | XML        |         11 |          0 |          2 |         13 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/main/res/drawable/launch_background.xml                  | XML        |         11 |          0 |          2 |         13 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/main/res/values-night/styles.xml                         | XML        |         17 |          0 |          2 |         19 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/main/res/values/styles.xml                               | XML        |         17 |          0 |          2 |         19 |
| /Applications/projects/flutter_projects/firedrop/android/app/src/profile/AndroidManifest.xml                              | XML        |          7 |          0 |          1 |          8 |
| /Applications/projects/flutter_projects/firedrop/android/gradle.properties                                                | Properties |          2 |          0 |          1 |          3 |
| /Applications/projects/flutter_projects/firedrop/android/gradle/wrapper/gradle-wrapper.properties                         | Properties |          5 |          0 |          1 |          6 |
| /Applications/projects/flutter_projects/firedrop/firebase.json                                                            | JSON       |          1 |          0 |          0 |          1 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/AppDelegate.swift                                             | Swift      |         12 |          0 |          2 |         14 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json              | JSON       |        122 |          0 |          1 |        123 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json            | JSON       |         23 |          0 |          1 |         24 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                | Markdown   |          3 |          0 |          2 |          5 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Base.lproj/LaunchScreen.storyboard                            | XML        |         37 |          0 |          1 |         38 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Base.lproj/Main.storyboard                                    | XML        |         26 |          0 |          1 |         27 |
| /Applications/projects/flutter_projects/firedrop/ios/Runner/Runner-Bridging-Header.h                                      | C++        |          1 |          0 |          1 |          2 |
| /Applications/projects/flutter_projects/firedrop/ios/RunnerTests/RunnerTests.swift                                        | Swift      |          7 |          2 |          4 |         13 |
| /Applications/projects/flutter_projects/firedrop/lib/core/constant/app_enums.dart                                         | Dart       |         12 |          0 |          5 |         17 |
| /Applications/projects/flutter_projects/firedrop/lib/core/routes/app_routes.dart                                          | Dart       |         48 |          0 |          3 |         51 |
| /Applications/projects/flutter_projects/firedrop/lib/core/routes/route_names.dart                                         | Dart       |          9 |          3 |          3 |         15 |
| /Applications/projects/flutter_projects/firedrop/lib/core/routes/route_paths.dart                                         | Dart       |          9 |          0 |          2 |         11 |
| /Applications/projects/flutter_projects/firedrop/lib/core/routes/router.dart                                              | Dart       |         54 |         12 |         15 |         81 |
| /Applications/projects/flutter_projects/firedrop/lib/core/theme/app_colors.dart                                           | Dart       |        150 |         23 |         25 |        198 |
| /Applications/projects/flutter_projects/firedrop/lib/core/theme/app_components.dart                                       | Dart       |         84 |          5 |          7 |         96 |
| /Applications/projects/flutter_projects/firedrop/lib/core/theme/app_sizes.dart                                            | Dart       |         38 |          7 |          9 |         54 |
| /Applications/projects/flutter_projects/firedrop/lib/core/theme/app_theme.dart                                            | Dart       |         59 |         11 |         14 |         84 |
| /Applications/projects/flutter_projects/firedrop/lib/core/theme/app_typography.dart                                       | Dart       |        106 |          9 |          9 |        124 |
| /Applications/projects/flutter_projects/firedrop/lib/core/widgets/top_safe_area.dart                                      | Dart       |          8 |          0 |          3 |         11 |
| /Applications/projects/flutter_projects/firedrop/lib/firebase_options.dart                                                | Dart       |         70 |         12 |          7 |         89 |
| /Applications/projects/flutter_projects/firedrop/lib/main.dart                                                            | Dart       |         25 |          0 |          6 |         31 |
| /Applications/projects/flutter_projects/firedrop/lib/models/matches_model.dart                                            | Dart       |         62 |          0 |          5 |         67 |
| /Applications/projects/flutter_projects/firedrop/lib/models/registrations_model.dart                                      | Dart       |         62 |          0 |          5 |         67 |
| /Applications/projects/flutter_projects/firedrop/lib/models/results_model.dart                                            | Dart       |         88 |          0 |          9 |         97 |
| /Applications/projects/flutter_projects/firedrop/lib/models/teams_model.dart                                              | Dart       |         58 |          0 |          6 |         64 |
| /Applications/projects/flutter_projects/firedrop/lib/models/tournaments_model.dart                                        | Dart       |        154 |          4 |         31 |        189 |
| /Applications/projects/flutter_projects/firedrop/lib/models/user_stats_model.dart                                         | Dart       |         43 |          0 |          5 |         48 |
| /Applications/projects/flutter_projects/firedrop/lib/models/users_model.dart                                              | Dart       |         70 |          0 |          6 |         76 |
| /Applications/projects/flutter_projects/firedrop/lib/models/video_model.dart                                              | Dart       |         34 |          0 |          5 |         39 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/providers/auth_providers.dart                           | Dart       |         28 |          3 |          5 |         36 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/providers/team_providers.dart                           | Dart       |         10 |          0 |          3 |         13 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/providers/tournament_providers.dart                     | Dart       |         73 |          8 |         21 |        102 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/providers/video_providers.dart                          | Dart       |         15 |          0 |          4 |         19 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/home_screen.dart                                | Dart       |        278 |         21 |         23 |        322 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/login_screen.dart                               | Dart       |        211 |          0 |         20 |        231 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/organizer_dashboard_screen.dart                 | Dart       |      1,608 |         30 |         74 |      1,712 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/profile_screen.dart                             | Dart       |        203 |          0 |         11 |        214 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/signup_screen.dart                              | Dart       |        160 |          0 |         26 |        186 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/splash_screen.dart                              | Dart       |        190 |          7 |         25 |        222 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/create_room_screen.dart          | Dart       |        237 |          0 |         16 |        253 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/join_room_screen.dart            | Dart       |        221 |          0 |         18 |        239 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/registration_success_screen.dart | Dart       |        177 |          1 |         10 |        188 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/team_selection_screen.dart       | Dart       |        171 |          0 |          8 |        179 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/tournament_screen.dart                          | Dart       |        715 |         15 |         28 |        758 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/screens/videos_screen.dart                              | Dart       |        329 |          0 |         25 |        354 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/animations/animated_tournament_card.dart        | Dart       |         52 |          0 |         12 |         64 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/home/section_header.dart                        | Dart       |         58 |          1 |          4 |         63 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/home_chips.dart                                 | Dart       |        113 |          2 |         10 |        125 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/home_header.dart                                | Dart       |         43 |          0 |          5 |         48 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/loading_shimmer.dart                            | Dart       |         60 |          0 |          7 |         67 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/main_bottom_nav.dart                            | Dart       |         26 |          0 |          4 |         30 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/match_card.dart                                 | Dart       |         95 |          4 |         13 |        112 |
| /Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/pulsing_dot.dart                                | Dart       |         49 |          0 |          7 |         56 |
